brapa_gene	agi	identity	evalue	bitscore
BRARA.C03632	AT3G17120	79.5	5.01e-69	210
BRARA.C03637	AT3G17300	94.5	1.75e-56	168
BRARA.C03639	AT3G17380	89.6	1.26e-210	576
BRARA.C03640	AT3G17390	97.2	1.03e-286	776
BRARA.C03642	AT3G17440	96.7	3.5e-177	488
BRARA.C03646	AT3G17570	50.5	4.9e-112	332
BRARA.C03650	AT3G17609	91.3	6.02e-69	206
BRARA.C03651	AT3G17630	87.5	0	1351
BRARA.C03653	AT3G17650	92.6	0	1300
BRARA.C03657	AT3G17710	65.3	2.31e-175	492
BRARA.C03662	AT3G17470	87.7	3.24e-64	205
BRARA.C03670	AT3G17900	85	0	1337
BRARA.C03675	AT3G18010	75.6	3.55e-183	510
BRARA.C03676	AT3G18030	93.7	2.97e-148	410
BRARA.C03682	AT3G18260	84.4	2.92e-135	378
BRARA.C03688	AT3G18518	83	9.8e-21	75.5
BRARA.C03691	AT3G18524	91.7	0	1706
BRARA.C03694	AT3G18590	80.2	1.79e-92	267
BRARA.C03696	AT3G18620	87.5	4.57e-212	582
BRARA.C03698	AT3G18690	71	9.23e-101	290
BRARA.C03701	AT1G36240	99.1	2.91e-76	220
BRARA.C03702	AT3G18750	87.6	0	928
BRARA.C03704	AT3G18773	76.5	7.9e-114	323
BRARA.C03706	AT3G18810	83.9	1.44e-242	689
BRARA.C03708	AT3G18830	88.3	0	914
BRARA.C03710	AT3G13437	54.9	3.24e-09	47.4
BRARA.C03712	AT3G13433	78	1.77e-20	74.7
BRARA.C03713	AT3G18940	92.2	7.2e-194	531
BRARA.C03714	AT3G18860	90.6	0	920
BRARA.C03718	AT3G19020	85.1	4.71e-105	350
BRARA.C03725	AT3G19090	78.2	7.06e-233	645
BRARA.C03730	AT3G19160	72.9	5.17e-164	459
BRARA.C03732	AT3G63220	86.1	2.98e-229	626
BRARA.C03733	AT3G19260	88.5	1.21e-190	524
BRARA.C03738	AT3G19360	70.1	7.94e-175	490
BRARA.C03741	AT3G19480	91.3	0	999
BRARA.C03742	AT3G19460	71.4	2.08e-103	297
BRARA.C03745	AT3G19595	70.5	4.6e-146	412
BRARA.C03747	AT3G19610	81.3	0	904
BRARA.C03749	AT3G19630	89.5	9.08e-242	660
BRARA.C03754	AT3G19690	79	1.61e-96	275
BRARA.C03760	AT3G20030	60.8	3.92e-154	440
BRARA.C03767	AT3G20000	84.5	7.25e-194	533
BRARA.C03768	AT3G20010	66	0	1178
BRARA.C03769	AT3G20020	88.2	1.42e-267	731
BRARA.C03770	AT3G20050	96.5	0	998
BRARA.C03772	AT3G20080	71.7	1.67e-255	707
BRARA.C03774	AT3G20150	80	0	1545
BRARA.C03775	AT3G20160	73.5	4.77e-166	466
BRARA.C03776	AT3G20170	84.4	5.82e-172	491
BRARA.C03777	AT3G20190	81.7	0	1038
BRARA.C03779	AT3G20250	74.7	2.16e-283	807
BRARA.C03784	AT3G20360	71.3	1.48e-168	473
BRARA.C03790	AT3G20410	91.6	0	962
BRARA.C03794	AT3G20550	87.3	7.73e-111	324
BRARA.C03795	AT3G20560	88.2	0	870
BRARA.C03796	AT3G20570	77.6	1.26e-98	284
BRARA.C03798	AT3G20600	79.1	6.31e-116	328
BRARA.C03799	AT3G20630	56.2	8.61e-288	798
BRARA.C03804	AT3G20750	55.1	3.29e-61	189
BRARA.C03808	AT3G20890	83.9	5.89e-161	448
BRARA.C03809	AT3G20898	63	4.9e-44	139
BRARA.C03810	AT3G20910	73.7	5.55e-131	373
BRARA.C03816	AT1G51550	70.1	1.92e-235	652
BRARA.C03821	AT1G51650	87.1	1.24e-42	132
BRARA.C03822	AT3G21220	87.2	6.23e-201	555
BRARA.C03823	AT3G21230	87	0	953
BRARA.C03829	AT3G21340	85.9	0	1496
BRARA.C03830	AT3G21352	80.3	4.22e-39	123
BRARA.C03831	AT3G21400	84.9	3.33e-101	289
BRARA.C03832	AT3G21410	62.7	7.19e-150	427
BRARA.C03834	AT3G21460	97.1	9.85e-68	197
BRARA.C03836	AT3G21490	75.4	3.34e-64	191
BRARA.C03839	AT3G21530	86.9	6.56e-285	776
BRARA.C03840	AT3G21580	89.3	2.55e-231	635
BRARA.C03842	AT3G21610	82.2	1.47e-98	281
BRARA.C03843	AT3G21620	93.1	0	1391
BRARA.C03845	AT3G21680	71.4	1.17e-46	145
BRARA.C03849	AT3G21710	76.6	5.79e-106	303
BRARA.C03853	AT3G21760	80.2	6.93e-293	799
BRARA.C03855	AT3G21790	71	7.09e-250	689
BRARA.C03857	AT3G21865	85.9	1.6e-159	444
BRARA.C03858	AT3G21970	52.7	7.26e-92	271
BRARA.C03860	AT3G22120	86.2	9.54e-48	162
BRARA.C03866	AT3G22260	85.7	2.31e-140	392
BRARA.C03868	AT3G22290	94.6	2.98e-245	667
BRARA.C03870	AT3G22320	94.6	1.2e-136	380
BRARA.C03874	AT3G22420	72.5	6.77e-304	837
BRARA.C03875	AT3G22480	86.6	6.57e-78	227
BRARA.C03882	AT3G22650	72.2	8.98e-212	585
BRARA.C03885	AT3G22670	83.4	1.33e-225	634
BRARA.C03886	AT3G22680	79.1	1.22e-85	248
BRARA.C03891	AT3G22840	86.7	1.99e-107	305
BRARA.C03893	AT3G22850	85.9	4.09e-163	451
BRARA.C03894	AT3G22890	93.5	0	872
BRARA.C03897	AT3G22942	93	7.91e-62	182
BRARA.C03898	AT1G23280	64.5	9.66e-117	337
BRARA.C03901	AT3G23030	85.6	1.55e-101	292
BRARA.C03903	AT2G02520	50.4	1.23e-46	149
BRARA.C03905	AT1G63590	59.6	7.13e-95	280
BRARA.C03907	AT3G23140	57.9	9.67e-52	162
BRARA.C03908	AT3G23170	76.9	1.09e-45	142
BRARA.C03910	AT3G23250	83.3	6.04e-172	476
BRARA.C03913	AT3G23300	91.7	0	1161
BRARA.C03915	AT3G23390	96.2	4.61e-72	209
BRARA.C03917	AT3G23440	72.3	1.2e-51	158
BRARA.C03920	AT1G66390	77.2	1.04e-147	412
BRARA.C03922	AT3G23790	87	0	1258
BRARA.C03927	AT3G23870	90.1	2.68e-211	580
BRARA.C03928	AT3G24050	68.2	7.51e-110	318
BRARA.C03932	AT3G24140	87.3	3.67e-226	623
BRARA.C03934	AT3G24170	94.6	0	940
BRARA.C03936	AT3G23990	94.1	0	1009
BRARA.C03937	AT3G23980	72.1	3.09e-259	731
BRARA.C03943	AT3G24290	90.8	0	877
BRARA.C03946	AT1G48520	86.8	0	928
BRARA.C03948	AT3G24340	59.2	0	1149
BRARA.C03951	AT3G24360	83.7	4.05e-247	677
BRARA.C03953	AT3G24450	92.8	1.41e-94	268
BRARA.C03954	AT3G24460	90.5	8.53e-283	767
BRARA.C03956	AT3G24480	84.4	2.03e-123	366
BRARA.C03957	AT3G24490	73.3	1.24e-139	398
BRARA.C03958	AT3G24503	88.4	0	919
BRARA.C03960	AT3G24508	61.4	1.18e-27	95.1
BRARA.C03961	AT3G24515	65.9	8.84e-172	488
BRARA.C03964	AT3G24570	86.8	5.51e-154	426
BRARA.C03968	AT3G24650	81.6	0	974
BRARA.C03969	AT3G24660	88.5	0	1059
BRARA.C03970	AT1G31580	55.8	7.8e-07	43.1
BRARA.C03971	AT3G24715	67.3	0	1382
BRARA.C03972	AT3G24730	81.3	4.3e-85	246
BRARA.C03974	AT3G24800	74.2	2.28e-209	580
BRARA.C03975	AT3G24810	63.2	8.99e-66	200
BRARA.C03976	AT3G24830	96.1	1.36e-140	390
BRARA.C03979	AT3G23123	74.2	2.04e-31	103
BRARA.C03980	AT3G25060	81.1	0	961
BRARA.C03983	AT3G25070	77.7	4.51e-107	306
BRARA.C03985	AT3G25100	93.8	0	1048
BRARA.C03987	AT3G25140	93.9	0	1044
BRARA.C03988	AT3G25160	89.7	2.45e-178	491
BRARA.C03989	AT3G25180	82	1.07e-310	846
BRARA.C03990	AT3G25190	89	1.14e-127	358
BRARA.C03991	AT3G25220	88.1	3.45e-97	276
BRARA.C03992	AT3G25230	88.4	0	955
BRARA.C03993	AT3G25240	74	1.14e-137	389
BRARA.C03994	AT3G25260	78.3	1.94e-288	790
BRARA.C03996	AT3G25460	55.4	4.22e-126	366
BRARA.C03998	AT3G25480	76.3	5.69e-135	381
BRARA.C03999	AT3G25500	77.6	0	1196
BRARA.C04001	AT3G25520	94.5	2.58e-197	541
BRARA.C04003	AT2G04050	80.9	7.3e-285	778
BRARA.C04004	AT2G04160	88	0	1355
BRARA.C04007	AT2G04350	89.1	0	1278
BRARA.C04008	AT2G04400	83.8	8.05e-239	655
BRARA.C04012	AT1G54410	86.4	7.78e-07	43.1
BRARA.C04013	AT2G04515	52.9	2.97e-52	166
BRARA.C04015	AT2G04530	86.9	3.11e-217	596
BRARA.C04016	AT2G04540	91.5	1.15e-265	726
BRARA.C04017	AT2G04550	84.6	6.08e-156	433
BRARA.C04018	AT2G04570	89.4	1.9e-233	637
BRARA.C04020	AT4G23220	71.2	0	926
BRARA.C04021	AT2G04740	87.2	0	986
BRARA.C04022	AT2G04780	82.1	3.94e-125	355
BRARA.C04023	AT2G04790	77.3	1.27e-91	264
BRARA.C04025	AT2G04795	85.3	1.06e-51	156
BRARA.C04026	AT2G04842	95.7	0	1248
BRARA.C04027	AT2G04845	84.1	7.71e-126	354
BRARA.C04028	AT2G04850	93.9	1.06e-261	713
BRARA.C04029	AT2G04860	83.1	0	1150
BRARA.C04030	AT2G04865	83.9	0	1110
BRARA.C04031	AT2G04880	68.7	2.55e-188	532
BRARA.C04033	AT2G04940	75.6	6.64e-204	566
BRARA.C04035	AT2G05070	97.4	5.75e-194	530
BRARA.C04036	AT2G05120	78.9	0	1959
BRARA.C04039	AT2G05250	78.9	0	1078
BRARA.C04040	AT2G05320	81.9	1.62e-269	734
BRARA.C04041	AT2G05440	73.5	4.8e-14	64.3
BRARA.C04043	AT2G05540	75.6	7.65e-37	122
BRARA.C04044	AT2G05590	71.2	1.98e-145	409
BRARA.C04045	AT2G05620	86.6	5.98e-74	216
BRARA.C04046	AT2G05630	96.3	1.32e-69	205
BRARA.C04048	AT2G05755	85.2	1.3e-231	636
BRARA.C04049	AT2G05760	95	0	989
BRARA.C04051	AT2G07690	94.8	0	1335
BRARA.C04052	AT2G07560	94.6	0	1779
BRARA.C04053	AT2G07050	92.5	0	1499
BRARA.C04054	AT2G07020	71	0	909
BRARA.C04055	AT5G35320	51.4	1.51e-54	173
BRARA.C04056	AT2G06850	95.6	1.62e-222	605
BRARA.C04057	AT2G06530	97.8	1.05e-105	303
BRARA.C04059	AT2G06050	90.5	1.58e-263	716
BRARA.C04062	AT2G11890	81.9	6.39e-122	343
BRARA.C04063	AT2G11910	74.2	6.46e-29	104
BRARA.C04064	AT2G12400	81.9	5.98e-303	828
BRARA.C04065	AT2G12462	79.5	1.88e-129	365
BRARA.C04066	AT5G42240	78.8	3.44e-282	770
BRARA.C04067	AT2G12550	79	4.38e-285	785
BRARA.C04068	AT2G12646	86.3	8.46e-167	460
BRARA.C04069	AT2G13360	96	5.61e-290	784
BRARA.C04071	AT2G13440	90.7	0	1272
BRARA.C04072	AT2G13540	90.8	0	1503
BRARA.C04075	AT2G13570	84.5	9.37e-105	300
BRARA.C04076	AT2G13600	82.6	0	926
BRARA.C04077	AT2G13610	89.8	0	1101
BRARA.C04082	AT1G53570	68.2	9.6e-270	749
BRARA.C04084	AT2G13810	89.9	3.35e-303	822
BRARA.C04086	AT2G13820	83.6	1.47e-63	193
BRARA.C04087	AT1G58410	58.2	0	998
BRARA.C04088	AT2G13840	83.2	4.65e-249	684
BRARA.C04089	AT2G14045	89.3	1.61e-69	204
BRARA.C04091	AT2G14050	94.5	0	1207
BRARA.C04093	AT2G14095	70.4	3.27e-106	305
BRARA.C04095	AT2G14260	81.7	1.05e-228	627
BRARA.C04096	AT2G14520	92.5	1.59e-269	734
BRARA.C04097	AT2G14530	84.6	2.68e-273	743
BRARA.C04099	AT2G14610	78.9	2.56e-98	280
BRARA.C04101	AT2G14740	94.6	0	1249
BRARA.C04106	AT3G60040	52.4	2.68e-119	367
BRARA.C04109	AT2G15000	74.3	3.26e-43	135
BRARA.C04111	AT2G15020	84.7	0	897
BRARA.C04113	AT2G15220	84.3	6.71e-139	387
BRARA.C04123	AT2G15690	65.1	4.86e-252	700
BRARA.C04124	AT2G15695	89.5	3.1e-274	746
BRARA.C04125	AT2G15730	95.1	8.26e-245	665
BRARA.C04126	AT2G15830	62.1	1.63e-18	70.9
BRARA.C04129	AT2G15880	86.1	3.59e-143	429
BRARA.C04130	AT2G15890	80.6	2.22e-114	323
BRARA.C04131	AT2G15910	73.4	7.92e-185	513
BRARA.C04132	AT2G15960	67.5	9.15e-29	97.4
BRARA.C04133	AT2G15970	80.2	4.11e-117	330
BRARA.C04140	AT4G34555	97.2	1.7e-55	167
BRARA.C04141	AT2G16370	87.7	0	914
BRARA.C04142	AT2G16380	78.4	6.13e-302	827
BRARA.C04143	AT2G16390	76.3	0	1338
BRARA.C04146	AT2G16430	87.7	0	885
BRARA.C04147	AT2G16440	88.8	0	1425
BRARA.C04148	AT2G16510	100	2.16e-96	275
BRARA.C04151	AT2G16580	93.5	6.99e-73	211
BRARA.C04153	AT2G16700	91.6	1.45e-93	266
BRARA.C04154	AT2G16710	91.5	6.5e-86	246
BRARA.C04156	AT2G16720	76.3	7.67e-151	422
BRARA.C04158	AT2G16730	87.7	0	1577
BRARA.C04163	AT5G02500	96.2	0	1191
BRARA.C04165	AT2G16890	82.2	8.94e-288	785
BRARA.C04170	AT2G16990	82.5	1.55e-263	722
BRARA.C04171	AT2G17000	82.1	0	1290
BRARA.C04173	AT2G17030	81.6	4.29e-249	681
BRARA.C04174	AT2G17033	78.5	1.52e-263	724
BRARA.C04180	AT5G23270	83.3	2.88e-313	853
BRARA.C04182	AT5G23250	91.9	1.22e-223	612
BRARA.C04183	AT5G23240	84.1	8.03e-276	754
BRARA.C04184	AT5G23200	85.9	7.52e-253	690
BRARA.C04185	AT5G23190	91.9	0	1033
BRARA.C04186	AT5G23170	74.9	1.27e-176	493
BRARA.C04189	AT5G23130	69.9	8.2e-164	464
BRARA.C04190	AT5G23120	95	3.83e-272	740
BRARA.C04191	AT5G23110	89.8	0	8409
BRARA.C04193	AT5G23100	78.7	4.76e-133	377
BRARA.C04195	AT5G23070	74.1	2.12e-144	406
BRARA.C04196	AT5G23060	89.9	5.92e-216	596
BRARA.C04197	AT5G23050	88	0	1299
BRARA.C04198	AT5G23040	87.3	7.71e-159	441
BRARA.C04201	AT5G60820	64.2	7.05e-154	441
BRARA.C04202	AT5G60830	73.7	1.12e-82	243
BRARA.C04204	AT5G60850	80.1	2.2e-118	342
BRARA.C04205	AT5G60870	89	1.33e-296	805
BRARA.C04206	AT5G60880	69.2	1.69e-114	328
BRARA.C04207	AT5G60890	75.4	4.49e-161	450
BRARA.C04208	ATCG00130	94.2	2.26e-38	125
BRARA.C04212	AT5G60920	94.1	0	910
BRARA.C04213	AT5G60930	82	0	1934
BRARA.C04214	AT5G60940	90.2	3.08e-251	689
BRARA.C04215	AT5G60950	79.1	2.87e-121	341
BRARA.C04216	AT5G60960	80.5	8.04e-294	804
BRARA.C04217	AT3G26850	74.8	1e-108	322
BRARA.C04218	AT5G60970	75.9	5.28e-172	483
BRARA.C04219	AT5G60980	85.2	4.91e-240	662
BRARA.C04220	AT5G60990	92.6	8.09e-299	811
BRARA.C04223	AT5G61010	77.8	0	972
BRARA.C04225	AT5G61040	71.3	5.94e-236	662
BRARA.C04226	AT5G61060	83.2	0	1133
BRARA.C04227	AT5G61090	59.5	1.46e-208	599
BRARA.C04229	AT5G61120	69.6	6.6e-182	512
BRARA.C04231	AT5G61170	97.9	6.91e-101	285
BRARA.C04235	AT5G61210	90.5	5.71e-187	515
BRARA.C04239	AT5G61240	77	5.69e-78	241
BRARA.C04240	AT5G61250	87.1	0	973
BRARA.C04241	AT5G61260	59.8	6.27e-137	402
BRARA.C04242	AT5G61270	82.7	2.68e-172	483
BRARA.C04243	AT5G61280	67.1	4.57e-99	289
BRARA.C04244	AT5G61290	88.3	1.42e-304	826
BRARA.C04247	AT5G61330	88.4	7.6e-186	523
BRARA.C04248	AT5G61340	82.5	1.23e-173	485
BRARA.C04250	AT5G61370	85.4	6.99e-217	606
BRARA.C04252	AT5G61380	69.5	3.48e-271	753
BRARA.C04253	AT5G61410	91.5	6.77e-183	503
BRARA.C04254	AT5G61412	88.6	1.47e-16	67.4
BRARA.C04255	AT5G61420	79.9	4.38e-202	558
BRARA.C04256	AT5G61430	91.4	1.09e-229	626
BRARA.C04257	AT5G61440	77.2	6.27e-133	375
BRARA.C04258	AT5G61450	79.5	2.74e-229	635
BRARA.C04260	AT5G61460	88.8	0	1788
BRARA.C04262	AT5G61470	50.3	5.33e-51	169
BRARA.C04263	AT5G61480	87.2	1.69e-275	797
BRARA.C04264	AT5G61490	65.8	1e-104	304
BRARA.C04266	AT5G61520	86.1	3.23e-313	853
BRARA.C04267	AT5G61530	92.7	5.54e-234	640
BRARA.C04268	AT5G61540	86.9	2.98e-231	632
BRARA.C04273	AT5G61580	93	0	978
BRARA.C04275	AT5G61600	71.1	3.25e-111	319
BRARA.C04277	AT5G61620	69.4	2.29e-147	417
BRARA.C04278	AT5G61630	90.5	1.95e-93	266
BRARA.C04280	AT5G61650	75.8	2.27e-106	304
BRARA.C04282	AT5G61680	81.8	1.56e-218	599
BRARA.C04284	AT5G61690	88.8	0	1687
BRARA.C04285	AT5G61720	71.8	3.57e-185	518
BRARA.C04286	AT5G61730	84.8	0	1590
BRARA.C04287	AT5G61740	79.8	0	1449
BRARA.C04288	AT5G61750	82.4	1.98e-122	344
BRARA.C04291	AT3G49700	97.7	0	922
BRARA.C04292	AT3G49740	71.3	0	983
BRARA.C04295	AT3G49870	97.8	1.63e-128	358
BRARA.C04296	AT3G49890	63.9	2.07e-73	222
BRARA.C04299	AT3G49930	72.3	9.45e-80	237
BRARA.C04302	AT3G49990	71.6	9.62e-219	612
BRARA.C04304	AT3G50060	73.4	7.09e-137	388
BRARA.C04308	AT3G50110	81.8	0	909
BRARA.C04309	AT3G50120	90	0	967
BRARA.C04310	AT3G50130	84.9	0	882
BRARA.C04315	AT3G50410	70.7	4.9e-122	347
BRARA.C04316	AT3G50420	82.1	0	1153
BRARA.C04317	AT3G50440	82.4	1.35e-163	454
BRARA.C04319	AT3G50500	91.9	3.07e-246	671
BRARA.C04322	AT3G50620	89.7	1.94e-224	613
BRARA.C04323	AT3G50630	55.4	8.25e-49	158
BRARA.C04325	AT3G50740	82.5	1.6e-299	815
BRARA.C04326	AT3G50750	82.9	1.18e-148	417
BRARA.C04327	AT3G50760	92.4	2.17e-240	654
BRARA.C04328	AT3G50770	80.6	4.95e-110	313
BRARA.C04330	AT3G50800	80.4	5.42e-83	240
BRARA.C04332	AT3G50830	89.6	1.76e-130	364
BRARA.C04333	AT3G50860	96.4	4.09e-109	307
BRARA.C04335	AT3G50890	73.6	5.41e-116	331
BRARA.C04339	AT3G50920	72.9	5.02e-109	314
BRARA.C04342	AT3G50960	93.9	2.35e-146	407
BRARA.C04344	AT3G51010	85.6	1.01e-97	280
BRARA.C04346	AT3G51030	89.5	7.95e-75	216
BRARA.C04347	AT3G51050	92.6	0	1337
BRARA.C04350	AT3G51100	81.2	2.36e-115	327
BRARA.C04352	AT3G51130	94.2	1.37e-296	801
BRARA.C04353	AT3G51140	85.3	7.22e-164	455
BRARA.C04354	AT3G51150	79.7	0	1571
BRARA.C04355	AT3G51160	90.1	3.05e-247	673
BRARA.C04358	AT3G51240	92.7	3.67e-237	647
BRARA.C04359	AT3G51260	95.6	3.36e-165	456
BRARA.C04360	AT3G51270	83.2	1.51e-252	694
BRARA.C04361	AT3G51280	85.6	2.36e-253	694
BRARA.C04363	AT3G51330	78.2	8.44e-298	815
BRARA.C04365	AT3G51400	79.4	9.42e-151	422
BRARA.C04366	AT3G51410	79.9	3.67e-138	390
BRARA.C04369	AT3G51580	61.6	8.98e-125	365
BRARA.C04374	AT3G51642	80.6	7.16e-14	58.5
BRARA.C04375	AT3G51660	93.8	2.3e-73	213
BRARA.C04377	AT3G51680	90.2	1.68e-186	514
BRARA.C04378	AT3G51710	82.9	4.3e-272	745
BRARA.C04379	AT3G51730	80	9.17e-127	356
BRARA.C04380	AT3G51750	52.7	4.98e-26	92.8
BRARA.C04386	AT3G51860	91.2	5.14e-251	691
BRARA.C04393	AT3G52030	83.3	5.5e-271	739
BRARA.C04397	AT3G52080	92.8	0	1494
BRARA.C04400	AT3G52105	95.4	1.98e-39	125
BRARA.C04402	AT3G52155	83.6	4.68e-129	362
BRARA.C04403	AT3G52160	86.4	1.06e-282	770
BRARA.C04406	AT3G52260	72.2	1.21e-210	583
BRARA.C04409	AT4G38160	80.4	3.97e-66	212
BRARA.C04410	AT3G52280	68.6	5.1e-164	463
BRARA.C04411	AT3G52300	94.6	5.79e-112	315
BRARA.C04413	AT3G52380	79.3	9.55e-162	453
BRARA.C04415	AT3G52420	86.5	3.71e-25	87.8
BRARA.C04420	AT3G52470	89.9	8.76e-138	383
BRARA.C04427	AT4G15310	69.5	1.26e-203	568
BRARA.C04429	AT4G15396	76.2	3.92e-276	756
BRARA.C04430	AT4G15410	71.6	3.8e-186	523
BRARA.C04432	AT4G15417	60.6	3.75e-105	307
BRARA.C04434	AT5G23080	88.2	1.61e-311	864
BRARA.C04435	AT4G15440	75.9	1.2e-195	542
BRARA.C04437	AT4G15470	94.5	8.98e-173	476
BRARA.C04438	AT4G15475	71.3	5.98e-128	389
BRARA.C04444	AT4G15560	96	0	1368
BRARA.C04446	AT4G15610	77.1	4.78e-84	246
BRARA.C04447	AT4G15630	86.8	1.46e-102	293
BRARA.C04448	AT4G15650	57	1.48e-52	170
BRARA.C04453	AT4G15760	82.7	8.65e-244	669
BRARA.C04454	AT4G11700	50.4	2.38e-31	110
BRARA.C04456	AT4G15800	76.5	2.91e-52	162
BRARA.C04457	AT4G15802	98.8	3.63e-53	159
BRARA.C04458	AT4G15820	59.6	7.58e-165	473
BRARA.C04459	AT4G15840	86.7	0	1411
BRARA.C04466	AT4G15890	87.6	0	2174
BRARA.C04467	AT4G15900	92.8	2.22e-190	539
BRARA.C04469	AT4G15930	88.7	1.79e-68	201
BRARA.C04470	AT4G15955	80.7	9.15e-198	544
BRARA.C04471	AT4G16060	82.9	7.3e-171	474
BRARA.C04472	AT4G15990	70.3	2.89e-65	194
BRARA.C04473	AT4G15960	83.6	1.41e-223	613
BRARA.C04475	AT4G16070	89.8	0	1062
BRARA.C04476	AT4G16100	61.1	2.81e-126	365
BRARA.C04481	AT4G16144	83.3	3.91e-232	643
BRARA.C04482	AT4G16146	71.3	1.55e-44	139
BRARA.C04486	AT4G16180	94.9	0	1512
BRARA.C04488	AT4G16195	66.7	8.1e-78	228
BRARA.C04489	AT4G16210	94.2	2e-172	475
BRARA.C04490	AT4G16230	87	2.11e-150	424
BRARA.C04494	AT4G16410	73.9	3.06e-80	236
BRARA.C04501	AT4G16460	67.6	4.64e-42	138
BRARA.C04508	AT3G30165	55.4	4.57e-29	101
BRARA.C04509	AT4G16535	71.5	2.81e-100	292
BRARA.C04511	AT4G23210	64.8	2.24e-296	822
BRARA.C04512	AT4G16545	71	1.64e-134	379
BRARA.C04513	AT4G16550	59.4	3.41e-107	310
BRARA.C04516	AT4G16590	84.8	0	939
BRARA.C04523	AT4G16695	94.7	6e-33	106
BRARA.C04527	AT4G16820	89	0	895
BRARA.C04534	AT4G17050	90.7	7.54e-203	555
BRARA.C04537	AT4G17090	95.6	0	1066
BRARA.C04538	AT4G17100	92.5	1.48e-213	588
BRARA.C04539	AT4G17210	76.8	1.21e-227	637
BRARA.C04540	AT4G17215	76.9	2.53e-74	218
BRARA.C04542	AT4G17250	83	0	1203
BRARA.C04544	AT4G17270	90.8	1.44e-216	593
BRARA.C04546	AT4G17370	90.9	6.69e-244	665
BRARA.C04550	AT4G17440	65.2	1.93e-75	228
BRARA.C04553	AT4G17483	80.1	7.67e-172	477
BRARA.C04561	AT4G17616	76.2	0	998
BRARA.C04562	AT4G17620	83.1	1.17e-266	735
BRARA.C04564	AT4G17670	77.8	2.21e-80	234
BRARA.C04565	AT4G17680	68.3	8.58e-127	364
BRARA.C04566	AT4G17690	81.7	2.95e-200	551
BRARA.C04568	AT4G21670	83.6	0	1532
BRARA.C04569	AT4G21680	92	0	1077
BRARA.C04570	AT4G21705	82.6	7.21e-306	832
BRARA.C04571	AT4G21710	97.5	0	2321
BRARA.C04573	AT4G21740	64.5	1.88e-55	170
BRARA.C04574	AT4G21745	70.8	9.88e-65	194
BRARA.C04575	AT4G21750	91.7	0	1348
BRARA.C04576	AT4G21760	84.9	0	924
BRARA.C04578	AT4G21790	90	2.75e-188	518
BRARA.C04581	AT4G21895	53	1.06e-66	207
BRARA.C04585	AT4G21920	59.1	4.31e-22	84
BRARA.C04588	AT4G21970	83.1	8.49e-86	248
BRARA.C04589	AT4G21980	94.2	2.37e-79	229
BRARA.C04591	AT1G69090	56	7.05e-127	370
BRARA.C04599	AT4G22115	72.4	1.68e-43	135
BRARA.C04600	AT4G22140	97.7	8.93e-164	451
BRARA.C04603	AT4G22250	75.2	8.88e-102	292
BRARA.C04604	AT4G22270	85.2	6.97e-262	716
BRARA.C04606	AT4G22290	86.4	5.32e-266	727
BRARA.C04607	AT4G22300	86.3	1.36e-159	452
BRARA.C04609	AT4G22320	58.6	3.62e-66	203
BRARA.C04611	AT4G22330	96.9	7.29e-192	524
BRARA.C04612	AT4G22350	96.2	1.79e-317	863
BRARA.C04613	AT4G22360	81.6	5.15e-197	547
BRARA.C04614	AT4G22490	78.3	3.81e-63	187
BRARA.C04615	AT4G22505	61.9	1.94e-23	104
BRARA.C04616	AT4G22570	98.4	9.09e-130	361
BRARA.C04627	AT4G22740	74.8	1.71e-111	327
BRARA.C04628	AT4G22750	78.4	7.18e-166	462
BRARA.C04630	AT4G22770	81.9	1.91e-184	511
BRARA.C04634	AT4G22810	82.3	1.43e-141	402
BRARA.C04635	AT4G22820	79.8	1.78e-97	279
BRARA.C04637	AT4G22840	87.1	8.76e-242	663
BRARA.C04640	AT4G22890	90.7	1.14e-185	514
BRARA.C04641	AT4G22900	80.9	2.07e-181	504
BRARA.C04647	AT4G11800	82.4	0	1743
BRARA.C04648	AT4G23010	84.9	3.42e-224	615
BRARA.C04649	AT4G23030	87.2	0	878
BRARA.C04650	AT4G23050	82.8	0	1196
BRARA.C04653	AT4G10220	59.4	6.05e-120	352
BRARA.C04659	AT4G23150	67.7	6.1e-309	854
BRARA.C04666	AT4G23200	62.1	5.31e-276	769
BRARA.C04669	AT4G23250	74.1	0	973
BRARA.C04675	AT4G23340	88.1	2.24e-195	537
BRARA.C04677	AT4G23380	73.6	2.93e-221	612
BRARA.C04678	AT2G20170	64.6	1.22e-188	528
BRARA.C04679	AT4G23400	97.6	5.15e-208	567
BRARA.C04686	AT4G23470	86.8	6.83e-145	405
BRARA.C04688	AT4G23500	93.3	0	942
BRARA.C04693	AT4G23570	82.1	1.23e-169	475
BRARA.D00004	AT3G63530	85.9	4.89e-160	442
BRARA.D00005	AT3G63520	92.2	0	1001
BRARA.D00006	AT3G63490	79.9	2.17e-177	494
BRARA.D00007	AT3G63420	83.3	2.8e-47	147
BRARA.D00008	AT3G63400	62.3	3.18e-171	496
BRARA.D00009	AT3G63340	79.4	0	1672
BRARA.D00010	AT3G63310	94.6	2.26e-153	425
BRARA.D00011	AT3G63300	88.6	2.72e-273	750
BRARA.D00012	AT3G63290	68.9	3.56e-197	550
BRARA.D00013	AT3G63280	80.6	9.66e-296	813
BRARA.D00015	AT3G63250	86.9	1.64e-212	583
BRARA.D00016	AT3G63230	60.6	6.8e-33	112
