"","CWRU004174_S1","CWRU004175_S2","CWRU004176_S3","CWRU004177_S4","CWRU004178_S5","CWRU004179_S6","CWRU004180_S7","CWRU004181_S8","CWRU004182_S9","CWRU004183_S10","CWRU004184_S11","CWRU004185_S12","CWRU004186_S13","CWRU004187_S14"
"AT2G43700",24,26,61,30,29,39,84,43,66,22,23,3,70,41
"AT2G43710",480,575,1523,595,737,1094,2051,1165,1636,574,637,339,1324,1352
"AT2G43720",12,10,50,13,16,28,35,28,37,13,10,9,39,31
"AT2G43730",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AT2G43740",0,0,0,0,0,0,1,0,1,0,0,0,2,1
"AT2G43745",1.23,2.44,11.59,8.79,3.43,7.2,10.6,11.34,14.04,5.72,4.93,1.31,23.86,10.28
"AT2G43750",519.77,547.56,1079.41,606.21,656.57,893.8,1549.4,975.66,1488.96,550.28,601.07,281.69,1073.14,1143.72
"AT2G43760",141,132,346,155,163,217,428,240,336,166,168,72,327,303
"AT2G43770",118,143,337,186,233,238,443,257,351,132,161,134,299,328
"AT2G43780",32,40,44,26,19,46,84,53,99,31,24,14,85,64
"AT2G43790",548,488,1086,513,680,730,1753,836,1226,485,559,288,1103,1098
"AT2G43795",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G43800",7,20,42,17,18,23,35,53,47,29,15,8,58,34
"AT2G43810",82,86,215,97,90,145,264,183,235,103,82,55,194,234
"AT2G43820",493,282,779,483,457,387,761,418,648,311,351,285,589,642
"AT2G43840",9,12,22,10,8,14,15,17,29,4,7,2,6,20
"AT2G43850",40,44,107,36,55,79,132,76,108,50,39,21,94,106
"AT2G43860",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G43865",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G43870",2,2,5,3,5,4,6,1,4,6,3,1,6,14
"AT2G43880",1,1,0,0,0,1,0,0,2,1,1,0,0,1
"AT2G43890",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G43900",62,50,195,86,108,152,221,143,205,80,78,40,163,177
"AT2G43910",334,325,746,341,497,575,1185,569,951,305,357,188,786,788
"AT2G43920",31,46,79,52,46,52,62,66,81,39,48,21,73,96
"AT2G43930",0,2,8,8,1,5,14,7,4,1,5,1,7,13
"AT2G43940",53,44,120,43,48,54,170,81,122,49,51,15,156,102
"AT2G43945",126,118,265,127,166,224,454,201,334,129,131,73,263,246
"AT2G43950",135,115,266,126,172,191,349,194,281,107,137,75,225,274
"AT2G43960",0,0,1,0,0,2,5,0,2,1,1,0,3,2
"AT2G43970",1976,2003,4950,2375,2704,3399,6847,3667,5580,1889,2232,1262,4781,4672
"AT2G43980",57,47,138,59,81,104,145,129,153,63,72,22,139,142
"AT2G43990",11,24,24,20,17,33,51,25,42,14,11,4,52,43
"AT2G44000",0,2,4,0,4,1,0,4,4,2,4,0,2,5
"AT2G44010",20,28,114,18,42,49,85,68,61,25,18,12,117,66
"AT2G44020",42,51,114,57,69,100,201,99,151,36,69,37,130,129
"AT2G44030",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G44040",17,26,54,42,38,53,109,58,95,29,29,20,58,65
"AT2G44050",148,134,317,127,137,222,379,263,364,138,132,73,268,304
"AT2G44060",538,508,1490,643,843,1183,2110,1217,1811,709,585,276,1692,1405
"AT2G44065",111,116,285,141,168,206,382,214,290,125,152,66,270,264
"AT2G44070",0,1,8,1,0,5,3,3,2,1,1,0,4,3
"AT2G44080",236,226,451,293,303,410,606,394,529,265,245,170,504,659
"AT2G44090",106,136,416,163,203,268,542,330,410,164,157,81,461,395
"AT2G44100",1092,920,2335,1101,1480,1663,3293,1700,2610,985,1035,585,2400,2226
"AT2G44110",13,7,60,5,35,17,52,29,45,18,9,5,66,45
"AT2G44120",552,586,1287,696,836,1192,1938,1257,1959,703,723,356,1342,1416
"AT2G44130",785,557,1369,648,963,941,2349,871,1527,637,624,304,1396,1343
"AT2G44140",261,239,581,262,396,375,865,396,648,263,273,151,560,552
"AT2G44150",108,102,293,149,194,220,401,248,390,125,139,73,306,324
"AT2G44160",584,593,1456,642,764,1033,1963,1171,1689,651,617,280,1508,1406
"AT2G44175",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G44180",175,193,453,206,256,292,561,304,510,190,221,118,464,439
"AT2G44190",3,10,14,4,8,13,27,20,29,9,4,0,6,9
"AT2G44195",0,0,0,0,0,0,0,0,0,0,0,1,2,0
"AT2G44198",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G44200",51,28,99,45,73,80,129,74,153,47,39,29,102,81
"AT2G44210",290,279,745,269,361,457,1083,471,766,276,259,159,684,645
"AT2G44220",3,5,21,3,7,6,11,11,8,3,3,3,21,4
"AT2G44230",62,51,207,57,94,132,315,151,196,65,90,34,211,174
"AT2G44240",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G44250",0,1,0,0,0,0,0,2,0,1,1,0,1,1
"AT2G44255",39,41,81,32,61,77,98,77,85,51,32,30,85,92
"AT2G44260",8,5,16,3,7,2,13,11,18,5,4,2,12,20
"AT2G44270",68,80,169,97,99,111,231,133,195,68,53,41,172,179
"AT2G44280",18,31,66,26,32,56,71,52,52,31,29,23,77,66
"AT2G44290",7,3,21,8,4,17,20,9,32,5,9,7,19,11
"AT2G44300",60,47,111,59,57,74,97,89,160,50,46,23,97,103
"AT2G44310",126,131,467,180,167,280,510,259,373,174,138,76,378,299
"AT2G44320",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G44330",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G44340",2,0,3,1,0,5,3,7,2.01,0,0,0,1,0
"AT2G44350",342,396,964,356,488,717,1159,793,1182,375,361,155,1055,914
"AT2G44360",79,73,197,80,122,132,233,134,210,81,80,47,195,192
"AT2G44370",4,2,20,4,6,6,8,7,5,5,2,4,13,10
"AT2G44380",25,35,170,27,46,74,122,90,90,42,26,12,137,88
"AT2G44390",2,0,0,0,0,0,0,1,0,1,0,0,0,0
"AT2G44400",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G44410",421,396,874,386,538,545,1124,587,942,371,417,280,825,862
"AT2G44420",45,49,151,44,60,83,179,85,122,41,51,28,166,127
"AT2G44430",56,53,149,77,101,101,239,130,184,66,55,34,163,190
"AT2G44440",32,39,97,43,66,98,160,99,143,43,37,30,103,100
"AT2G44450",36,35,123,33,63,71,107,76,141,45,35,21,124,87
"AT2G44460",1,0,7,1,0,4,1,6,2,5,2,1,0,3
"AT2G44470",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G44480",10,14,40,6,25,23,59,22,31,9,18,8,35,27
"AT2G44490",487,481,1407,557,749,971,1946,959,1170,528,466,313,1507,1263
"AT2G44500",384,297,1045,409,593,641,1615,610,846,397,380,223,1163,996
"AT2G44510",16,17,54,17,22,39,49,36,59,17,15,12,59,55
"AT2G44520",103,104,267,136,168,191,393,219,279,115,136,60,268,269
"AT2G44525",67,69,147,71,81,82,186,91,168,74,81,34,159,127
"AT2G44530",141,189,419,187,206,286,588,301,445,159,189,82,390,412
"AT2G44540",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G44550",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G44560",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G44570",2,2,6,2,3,3,1,3,6,7,2,1,9,13
"AT2G44578",1,0,1,1,0,2,0,1,2,2,0,0,0,2
"AT2G44580",7,11,17,10,10,21,31,10,26,4,10,7,17,21
"AT2G44581",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G44590",1,2,3,4,0,2,1,1,0,1,1,0,2,1
"AT2G44600",30,35,100,25,45,65,144,75,102,32,38,20,152,79
"AT2G44610",427,419,1012,424,590,755,1441,776,1223,454,448,258,973,1025
"AT2G44620",100,174,341,154,169,230,434,256,389,142,157,72,339,331
"AT2G44630",4,9,21,7,7,17,17,18,16,6,6,4,26,25
"AT2G44640",44,62,142,63,44,126,169,124,207,73,68,26,126,142
"AT2G44650",83.52,104.45,227.84,120.44,130.89,195.65,347.87,207.85,399.91,123.51,112.07,51.05,275.54,239.56
"AT2G44660",62.48,54.55,164.16,57.56,88.11,96.35,205.13,101.15,189.09,55.49,73.93,30.95,146.46,153.44
"AT2G44670",229,174,553,230,371,389,919,383,525,237,242,150,623,520
"AT2G44680",134,124,289,141,189,228,405,253,326,141,141,53,328,275
"AT2G44690",4,12,16,11,12,19,27,16,36,9,4,3,21,26
"AT2G44700",6,6,25,16,9,18,28,3,18,10,6,6,23,16
"AT2G44710",100,102,279,126,143,180,335,202,321,136,123,87,258,250
"AT2G44730",118,131,312,162,193,212,448,227,316,133,135,80,304,278
"AT2G44735",0,0,1,0,0,0,0,2,0,0,0,0,0,2
"AT2G44740",71,50,136,53,69,78,214,115,134,73,56,27,167,125
"AT2G44745",6,5,22,9,7,11,15,8,19,7,2,1,18,15
"AT2G44750",56,54,159,64,76,80,202,121,122,58,60,43,134,126
"AT2G44760",74,75,203,77,118,138,287,131,196,99,81,42,165,152
"AT2G44770",217,180,421,189,275,346,600,324,526,223,166,121,422,448
"AT2G44790",778,691,2193,702,1250,1159,2915,1371,1967,704,690,341,2247,1717
"AT2G44798",24.96,20,81.86,31,40,44.52,95.51,56,57.51,18,30.5,16,69.88,60.55
"AT2G44800",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G44810",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G44820",48,36,115,45,71,70,123,74,128,41,50,40,121,98
"AT2G44830",56,67,123,62,55,102,109,147,175,60,74,25,102,142
"AT2G44840",1,2,10,2,3,4,0,7,14,2,2,0,5,5
"AT2G44850",60.31,50.34,150.91,52.72,89.73,88.78,146.2,100.76,113.7,45.46,55.47,29.25,135.85,125.69
"AT2G44860",131,155,380,147,165,227,464,327,391,144,176,78,398,348
"AT2G44870",125,134,331,139,139,179,378,211,318,124,159,82,262,270
"AT2G44880",6,3,7,6,6,10,20,18,16,11,6,1,12,14
"AT2G44890",0,0,2,0,1,2,0,1,0,1,0,0,3,5
"AT2G44900",349,321,755,352,469,465,1136,516,678,306,426,262,635,806
"AT2G44910",33,40,92,23,40,89,151,57,103,31,36,21,90,59
"AT2G44920",84,94,183,96,119,143,295,147,246,88,100,76,184,183
"AT2G44925",1,0,0,1,0,0,0,0,2,0,0,0,0,0
"AT2G44930",0,2,0,0,0,5,4,8,6,1,2,0,1,3
"AT2G44940",25,29,68,26,30,40,57,67,104,29,18,14,71,81
"AT2G44950",184,154,465,176,295,295,621,309,439,166,188,135,466,410
"AT2G44970",200,163,434,200,245,301,593,330,500,186,199,121,484,449
"AT2G44980",133,96,225,112,131,171,323,161,229,95,112,62,226,195
"AT2G44990",147,40,157,86,159,77,158,71,79,59,78,58,116,119
"AT2G44993",0,0,1,2,0,0,0,0,0,0,0,0,0,0
"AT2G44995",2.78,3.14,17.38,3.19,3.89,7.4,19.46,9.14,15.42,13.22,2.81,0,18.52,15.7
"AT2G45000",43,45,126,42,58,62,112,83,65,41,40,26,103,110
"AT2G45010",67,54,235,91,123,171,316,151,234,76,100,44,264,218
"AT2G45020",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G45023",8,13,40,10,11,18,56,15,43,17,16,3,49,34
"AT2G45030",124.84,191.94,389.03,179.28,188.53,290.6,423.6,317.79,387.64,155.2,216.77,122.15,374.63,398.02
"AT2G45040",14,8,23,6,20,10,26,7,16,10,4,4,16,10
"AT2G45050",136,99,198,142,150,246,345,258,331,133,145,71,254,318
"AT2G45060",76,84,173,83,102,114,233,126,210,83,102,37,194,178
"AT2G45070",120,149,393,161,236,310,514,280,443,146,168,78,434,370
"AT2G45080",4,7,17,7,8,9,7,18,15,9,11,4,16,13
"AT2G45100",15,12,31,18,19,37,42,22,45,12,25,2,36,36
"AT2G45110",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G45120",12,8,31,15,22,13,20,17,15,6,11,10,21,17
"AT2G45130",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AT2G45135",0,0,1,0,0,0,0,1,1,0,0,0,1,0
"AT2G45140",201,186,588,215,260,375,775,348,552,201,195,140,470,493
"AT2G45150",25,23,62,16,40,68,105,68,55,29,24,22,56,69
"AT2G45160",213,191,479,246,301,305,651,319,404,159,245,168,456,472
"AT2G45170",695,546,1347,613,900,756,1906,729,1224,593,685,425,1242,1272
"AT2G45180",6791,6180,16404,7444,9154,10007,25615,8724,12666,5541,7132,4880,14280,15762
"AT2G45190",39,42,81,56,57,78,161,75,110,45,40,21,87,94
"AT2G45200",167,167,419,175,253,271,622,328,433,150,192,104,334,378
"AT2G45210",119,82,236,100,128,97,217,129,218,103,97,64,190,155
"AT2G45220",38,24,118,35,31,37,128,42,51,23,21,10,82,51
"AT2G45240",141,137,329,134,167,212,401,261,332,145,133,83,322,321
"AT2G45243",0,1,0,0,1,1,1,1,0,0,0,0,2,0
"AT2G45245",14.18,23.95,48.38,12.41,15.03,37.82,58.57,33.45,31.15,16.89,24.6,11.57,53.91,56.02
"AT2G45250",74.59,100.9,216.81,108.9,118.46,145.89,261.88,147.77,238.86,92.27,98.09,51.41,187.96,222.16
"AT2G45260",200.82,229.05,459.51,235.59,241.97,325.18,628.4,369.5,541.76,201.11,223.34,129.43,477.09,484.42
"AT2G45270",35,41,94,27,57,67,125,65,98,39,37,24,100,97
"AT2G45280",10,18,56,19,25,38,77,38,52,14,8,14,56,56
"AT2G45290",83,114,283,107,113,134,275,200,253,105,81,43,266,176
"AT2G45300",136,166,400,175,157.46,240,417.41,340,456,175,168,66,434,371.5
"AT2G45310",31,42,79,48,40,69,121,82,122,31,43,21,115,94
"AT2G45315",71,60,209,65,99,120,284,122,154,72,65,35,179,144
"AT2G45320",40,51,102,54,76,67,123,57,125,33,55,36,79,94
"AT2G45330",112.93,99,284,101,146,158,353,175,270,120,125,47,269,201
"AT2G45340",283,209,442,211,355,339,469,378,467,220,248,145,495,516
"AT2G45350",2,2,8,3,3,7,8,4,13,2,4,0,4,8
"AT2G45360",1,6,10,3,2,9,10,12,4,2,6,2,11,10
"AT2G45380",501.86,475.33,1360.37,542.44,731.26,887.7,1868.52,874.7,1162.48,487.54,534.01,336.52,1513.98,1204.94
"AT2G45390",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G45400",89,70,240,100,140,169,354,177,239,109,104,47,265,220
"AT2G45403",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G45405",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G45406",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G45410",1,0,1,0,0,0,1,0,0,0,0,1,0,0
"AT2G45420",2,1,2,5,0,3,2,0,1,2,0,1,4,4
"AT2G45430",31,63,244,49,105,79,209,97,172,72,58,25,211,127
"AT2G45440",101,106,298,136,140,218,399,229,357,124,141,91,326,303
"AT2G45450",70,73,166,72,91,128,226,105,153,88,75,45,203,147
"AT2G45460",49,76,136,84,97,155,229,115,146,56,80,67,223,226
"AT2G45470",290,345,1018,393,440,843,1385,948,1324,440,364,138,1065,1129
"AT2G45480",13,11,25,16,15,26,47,44,47,19,12,8,24,45
"AT2G45490",1,8,17,6,6,12,24,17,32,7,4,0,14,25
"AT2G45500",94,72,193,65,101,132,278,131,190,93,91,39,214,174
"AT2G45510",157,134,544,156,215,238,451,272,335,145,133,82,499,359
"AT2G45520",61,85,129,70,85,105,179,118,199,71,79,37,170,152
"AT2G45530",96,93,291,130,130,153,411,177,225,99,102,78,217,218
"AT2G45540",1492.19,1401.01,3889.52,1801.8,2225.38,3047.22,5192.78,3247.46,3990,1723.24,1748.04,999.74,4332.84,4143.56
"AT2G45550",0,1,2,1,0,3,0,1,3,1,0,1,1,1
"AT2G45560",29,42,88,39,25,38,126,52,92,28,43,16,66,80
"AT2G45570",5,8,26,26,14,18,25,11,37,16,4,4,51,18
"AT2G45580",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G45590",108,83,272,133,140,224,310,246,299,123,106,53,289,318
"AT2G45600",57,58,121,66,53,83,216,100,160,50,74,26,129,125
"AT2G45610",3,4,8,9,6,9,36,8,18,2,6,7,14,25
"AT2G45620",760,806,1852,831,1021,1112,2508,1273,1730,699,938,577,1576,1762
"AT2G45630",38,54,151,61,76,113,201,95,136,51,53,23,135,122
"AT2G45640",161,153,364,154,232,247,524,301,444,161,183,117,369,386
"AT2G45650",0,0,0,2,0,0,1,0,0,0,0,0,0,0
"AT2G45660",115,105,269,91,185,167,270,188,268,112,109,77,294,242
"AT2G45670",1011,1067,2435,1093,1424,1605,3256,1613,2405,856,1204,731,2243,2385
"AT2G45680",78,84,209,112,117,187,339,147,274,104,114,51,209,266
"AT2G45685",3,2,12,1,6,2,5,3,4,1,1,0,0,3
"AT2G45690",33,33,86,37,41,74,132,56,100,21,22,15,88,100
"AT2G45695",15,19,53,26,30,43,51,26,42,17,18,19,72,40
"AT2G45700",229,233,489,220,303,369,663,400,601,204,237,148,487,483
"AT2G45710",26,44,65,41,42,66,114,55,84,30,34,10,99,95
"AT2G45720",191,157,395,157,277,236,512,263,359,159,193,105,363,368
"AT2G45730",81,138,231,107,168,200,355,227,308,113,143,76,259,262
"AT2G45740",577,428,970,538,765,530,1410,561,813,409,528,353,840,947
"AT2G45750",13,18,47,14,29,23,41,34,51,12,19,7,39,32
"AT2G45760",0,0,0,0,2,0,0,0,0,0,0,0,1,3
"AT2G45770",46,44,127,64,69,93,239,95,171,61,49,45,126,132
"AT2G45780",0,0,2,1,1,3,1,2,0,0,0,1,4,0
"AT2G45790",189,191,539,214,296,480,797,466,668,197,260,86,539,484
"AT2G45800",0,1,3,1,1,0,2,1,7,0,1,0,2,0
"AT2G45810",353,320,823,419,535,675,1291,671,994,362,374,193,951,910
"AT2G45820",1021,1046,2812,1010,1476,1760,3754,1863,2446,1018,1146,691,2673,2300
"AT2G45830",81,75,216,49,120,165,332,152,193,79,74,35,226,178
"AT2G45840",1,0,0,0,0,0,0,0,1,0,0,2,1,0
"AT2G45850",115,94,233,130,144,145,258,129,186,87,113,77,231,225
"AT2G45860",6,6,29,11,6,11,27,16,13,12,7,6,24,15
"AT2G45870",2,2,8,4,8,7,8,8,11,5,3,1,8,12
"AT2G45880",69,70,222,81,113,127,265,170,210,78,91,75,183,189
"AT2G45890",4,7,14,9,3,8,11,10,22,8,5,3,5,12
"AT2G45900",5,12,29,11,4,16,20,21,35,11,12,3,25,25
"AT2G45910",403,387,1117,378,629,705,1262,782,917,446,447,262,1176,1040
"AT2G45920",202,176,737,214,391,406,644,428,491,260,249,139,762,579
"AT2G45930",2,2,3,3,1,3,8,2,0,3,0,1,4,8
"AT2G45940",0,0,1,1,0,0,2,0,0,0,0,0,5,0
"AT2G45950",119,75,223,99,144,158,346,162,252,119,109,57,227,221
"AT2G45960",6866,6906,17949,6772,10345,11984,26621,12118,20965,8090,7455,3635,18281,17459
"AT2G45970",143,116,446,154,199,294,552,298,409,162,150,59,381,434
"AT2G45980",741,634,1621,716,956,1018,2491,1018,1584,562,754,478,1432,1414
"AT2G45990",123,103,267,135,173,215,390,222,297,108,130,60,285,254
"AT2G46000",41,34,154,60,50,75,143,78,151,57,47,27,125,84
"AT2G46020",1023,930,2395,1093,1459,1677,3011,1745,2457,1124,1077,646,2605,2363
"AT2G46030",179,138,372,145,244,267,556,228,458,142,172,85,368,360
"AT2G46040",19,23,74,30,26,56,89,44,76,34,26,10,72,60
"AT2G46050",0,2,2,3,2,2,4,1,2,1,1,0,1,2
"AT2G46060",80,81,220,85,120,181,294,179,209,85,81,44,265,219
"AT2G46070",42,45,127,53,87,82,108,71,94,55,58,30,124,142
"AT2G46080",168,132,403,179,230,239,504,241,314,129,161,92,352,343
"AT2G46090",47,53,98,45,62,99,177,112,152,65,55,23,147,140
"AT2G46100",53,59,187,78,106,92,206,89,140,56,61,26,143,118
"AT2G46110",5,8,30,22,21,25,48,31,40,11,20,9,28,28
"AT2G46120",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G46130",0,0,0,0,0,0,1,0,0,0,0,0,1,0
"AT2G46140",5,11,14,5,6,12,23,16,25,9,7,5,26,13
"AT2G46150",4,8,30,7,9,19,23,18,20,3,6,4,31,20
"AT2G46160",6,7,23,4,3,21,27,14,26,9,5,4,15,12
"AT2G46170",55,63,185,64,94,131,276,174,232,75,81,35,223,152
"AT2G46180",111,115,286,128,179,231,445,249,291,121,135,53,323,307
"AT2G46190",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G46192",99.79,83.42,301.05,105.25,105.73,186.87,457.68,205.26,171.55,108.87,93.7,56.14,258.74,197.18
"AT2G46200",61,96,182,91,106,145,254,122,214,81,98,52,212,205
"AT2G46210",0,16,13,11,2,7,39,18,16,5,14,9,12,18
"AT2G46220",1561,1442,3216,1633,1961,1667,4741,1603,2609,1152,1754,1267,2412,2754
"AT2G46225",63,59,196,50,85,145,220,158,187,79,84,40,207,183
"AT2G46230",97,142,305,146,185,188,417,247,335,96,147,85,274,293
"AT2G46240",66,66,164,63,99,121,241,131,161,81,81,51,186,171
"AT2G46250",55,57,132,46,62,78,164,93,114,48,57,32,114,106
"AT2G46255",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G46260",535,593,1058,597,720,807,1676,863,1428,518,637,343,1065,1217
"AT2G46270",318,378,952,323,467,668,1353,655,1001,313,384,216,892,865
"AT2G46280",544,702,1575,703,755,1118,1892,1155,1684,649,724,391,1333,1543
"AT2G46290",8,11,30,10,19,32,73,38,49,15,15,7,48,22
"AT2G46300",1,1,0,0,0,2,2,8,6,2,1,0,2,3
"AT2G46308",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G46310",38,73,137,57,52,80,154,114,129,60,51,39,133,120
"AT2G46320",33,49,80,27,50,70,93,47,64,33,39,24,62,91
"AT2G46330",162,196,609,226,319,374,803,394,539,260,216,133,547,537
"AT2G46340",180,152,460,172,261,346,665,278,518,184,188,115,467,365
"AT2G46360",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G46370",225,291,704,258,362,431,797,494,719,251,268,143,655,652
"AT2G46375",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G46380",21,31,89,29,40,84,94,73,90,25,27,9,102,70
"AT2G46390",87,97,255,101,144,196,362,161,324,131,93,36,260,199
"AT2G46400",3,14,42,10,8,27,15,12,39,15,11,1,38,25
"AT2G46410",11,4,34,10,14,12,32,21,30,8,9,2,24,22
"AT2G46420",19,31,83,25,18,54,116,81,107,30,22,15,107,71
"AT2G46430",18,12,86,17,29.91,37,51,30.68,53.48,29.17,12.68,5,90.06,45
"AT2G46440",9.83,4.83,13.36,9.48,2.75,14.09,17.55,14.8,18.8,10.94,5.87,2,27.78,20.53
"AT2G46450",35.17,43.17,145.64,28.52,32.33,72.91,123.45,100.52,107.72,49.89,30.45,16,153.16,83.47
"AT2G46455",3,2,8,2,4,5,7,10,9,1,2,0,11,5
"AT2G46460",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G46470",100,107,210,110,142,171,331,191,288,114,121,57,228,282
"AT2G46480",0,1,1,1,1,0,5,1,3,0,0,0,1,0
"AT2G46490",217,157,519,208,309,411,812,352,512,242,194,121,554,528
"AT2G46493",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G46494",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G46495",0,0,1,0,2,1,0,0,1,0,0,1,6,3
"AT2G46500",620,452,1229,578,844,792,1780,898,1161,500,590,315,1216,1136
"AT2G46505",195,151,467,195,205,289,525,292,438,184,164,84,431,394
"AT2G46510",121,87,300,117,118,151,296,157,254,91,109,69,255,224
"AT2G46520",286,300,746,319,348,496,935,562,812,283,323,184,757,689
"AT2G46530",75,113,251,119,134,291,471,321,514,125,122,49,375,347
"AT2G46535",9,12,33,15,13,25,31,32,32,18,10,0,36,30
"AT2G46540",77,78,170,82,97,145,232,128,239,70,65,32,231,187
"AT2G46550",279,270,615,270,412,433,865,455,669,284,324,173,675,623
"AT2G46560",618,527,1752,670,1019,1248,2269,1310,1615,693,643,366,1953,1731
"AT2G46567",0,0,0.86,0.94,0,0,0,0,0,0,0,0,0.71,0.79
"AT2G46570",6,14,33,8,13,26,35,27,39,22,9,4,26,31
"AT2G46572",15,16,58.14,24.06,34,44,99,56,46,21,32,13,93.29,76.21
"AT2G46580",53,53,145,73,75,83,180,99,136,48,60,38,141,121
"AT2G46590",84,103,299,108,158,181,333,192,240,117,99,72,326,232
"AT2G46600",554,438,1033,488,663,807,1664,761,1270,437,572,306,931,1098
"AT2G46610",53,71,160,57,90,108,197,80,121,68,63,42,181,152
"AT2G46620",116,96,283,113,148,194,353,213,259,113,107,70,371,270
"AT2G46630",12,18,15,15,10,20,16,26,46,8,15,7,18,23
"AT2G46640",7,7,14,4,5,27,42,27,22,11,4,0,21,27
"AT2G46650",27,50,186,43,29,59,72,105,153,37,27,20,126,92
"AT2G46660",5,15,23,8,20,19,30,32,45,14,10,4,38,21
"AT2G46670",2.74,0,0,5.27,4.13,10.19,19.46,2.38,15.91,5.87,0,2.22,19.9,15.57
"AT2G46680",196,117,369,148,200,214,515,240,343,169,117,87,425,250
"AT2G46685",1,0,2,1,1,2,2,2,1,0,1,1,0,1
"AT2G46690",192,189,475,169,286,287,727,332,519,207,198,115,523,420
"AT2G46700",49,52,158,50,75,103,230,102,157,65,67,31,155,119
"AT2G46710",273,266,726,319,424,622,1222,541,835,291,293,168,841,783
"AT2G46720",28,32,62.63,4.33,23,28,33,28,46,17,26,14,66,36.38
"AT2G46735",32,25,83,34,45,54,117,53,86,36,39,14,87,89
"AT2G46740",20,17,29,10,25,22,33,28,28,5,15,13,17,26
"AT2G46750",8,22,50,5,33,24,35,30,43,11,9,1,67,32
"AT2G46760",10,8,9,10,13,13,20,15,24,11,13,4,16,16
"AT2G46765",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G46770",0,0,1,0,0,0,0,0,0,0,0,0,1,2
"AT2G46780",101,71,308,91,163,226,397,215,332,116,123,56,297,283
"AT2G46790",41.26,43,117,35.73,66.87,60.81,62.54,91.62,83.09,46.13,35,27.78,124.1,97.43
"AT2G46800",663,555,1328,624,925,945,1891,885,1435,649,650,367,1406,1307
"AT2G46810",67,69,231,78,112,158,224,159,218,107,85,28,254,221
"AT2G46820",306,377,783,359,477,645,1177,618,994,362,402,203,676,807
"AT2G46830",340,325,1000,281,445,607,1330,625,1220,476,386,174,894,626
"AT2G46840",0,1,3,0,1,3,8,0,3,1,0,0,4,1
"AT2G46850",0,0,0,0,0,0,0,0,1,0,1,1,0,0
"AT2G46860",3,1,6,2,3,0,11,1,4,1,1,0,3,2
"AT2G46870",31,48,89,44,49,78,163,69,94,38,35,23,71,93
"AT2G46880",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AT2G46890",13,31,54,22,20,44,46,45,70,21,22,15,65,35
"AT2G46900",542,477,1109,534,735,725,1555,835,1233,482,609,305,1077,1039
"AT2G46910",104,122,265,129,130,195,368,174,331,100,119,80,253,241
"AT2G46915",76,70,185,81,104,148,245,128,191,57,70,46,135,147
"AT2G46920",122,121,411,139,166,269,542,298,386,157,136,73,448,338
"AT2G46930",62,70,182,71,72,115,172,142,200,46,49,32,174,165
"AT2G46940",3,3,16,3,9,5,23,21,10,8,4,4,23,20
"AT2G46950",18,7,36,11,30,12,25,18,25,18,7,7,24,33
"AT2G46960",0,0,3,0,0,0,0,1,1,0,0,0,3,0
"AT2G46970",499,503,1566,571,701,1201,2089,1154,1640,705,533,243,1633,1367
