TF	family	name
AT3G01220	HD-ZIP	AT3G01220
AT3G01330	E2F/DP	AT3G01330
AT3G01470	HD-ZIP	AT3G01470
AT3G01530	MYB	AT3G01530
AT3G01600	NAC	AT3G01600
AT3G01970	WRKY	AT3G01970
AT3G02150	TCP	AT3G02150
AT3G02310	MIKC_MADS	AT3G02310
AT3G02380	CO-like	AT3G02380
AT3G02550	LBD	AT3G02550
AT3G02830	C3H	AT3G02830
AT3G02940	MYB	AT3G02940
AT3G02990	HSF	AT3G02990
AT3G03200	NAC	AT3G03200
AT3G03260	HD-ZIP	AT3G03260
AT3G03450	GRAS	AT3G03450
AT3G03660	WOX	AT3G03660
AT3G03760	LBD	AT3G03760
AT3G04030	G2-like	AT3G04030
AT3G04060	NAC	AT3G04060
AT3G04070	NAC	AT3G04070
AT3G04100	M-type_MADS	AT3G04100
AT3G04410	NAC	AT3G04410
AT3G04420	NAC	AT3G04420
AT3G04430	NAC	AT3G04430
AT3G04450	G2-like	AT3G04450
AT3G04670	WRKY	AT3G04670
AT3G04850	CPP	AT3G04850
AT3G04930	GeBP	AT3G04930
AT3G05690	NF-YA	AT3G05690
AT3G05860	M-type_MADS	AT3G05860
AT3G06120	bHLH	AT3G06120
AT3G06160	B3	AT3G06160
AT3G06220	B3	AT3G06220
AT3G06250	FAR1	AT3G06250
AT3G06410	C3H	AT3G06410
AT3G06490	MYB	AT3G06490
AT3G06590	bHLH	AT3G06590
AT3G06740	GATA	AT3G06740
AT3G07340	bHLH	AT3G07340
AT3G07500	FAR1	AT3G07500
AT3G07650	CO-like	AT3G07650
AT3G08500	MYB	AT3G08500
AT3G08505	C3H	AT3G08505
AT3G09230	MYB	AT3G09230
AT3G09370	MYB	AT3G09370
AT3G09600	MYB_related	AT3G09600
AT3G09735	S1Fa-like	AT3G09735
AT3G10000	Trihelix	AT3G10000
AT3G10030	Trihelix	AT3G10030
AT3G10040	Trihelix	AT3G10040
AT3G10113	MYB_related	AT3G10113
AT3G10470	C2H2	AT3G10470
AT3G10480	NAC	AT3G10480
AT3G10490	NAC	AT3G10490
AT3G10500	NAC	AT3G10500
AT3G10580	MYB_related	AT3G10580
AT3G10590	MYB_related	AT3G10590
AT3G10760	G2-like	AT3G10760
AT3G10800	bZIP	AT3G10800
AT3G11020	ERF	AT3G11020
AT3G11090	LBD	AT3G11090
AT3G11100	Trihelix	AT3G11100
AT3G11260	WOX	AT3G11260
AT3G11280	MYB	AT3G11280
AT3G11440	MYB	AT3G11440
AT3G11450	MYB	AT3G11450
AT3G11580	B3	AT3G11580
AT3G12130	C3H	AT3G12130
AT3G12250	bZIP	AT3G12250
AT3G12480	NF-YC	AT3G12480
AT3G12680	C3H	AT3G12680
AT3G12720	MYB	AT3G12720
AT3G12730	G2-like	AT3G12730
AT3G12820	MYB	AT3G12820
AT3G12910	NAC	AT3G12910
AT3G12977	NAC	AT3G12977
AT3G13040	G2-like	AT3G13040
AT3G13540	MYB	AT3G13540
AT3G13810	C2H2	AT3G13810
AT3G13840	GRAS	AT3G13840
AT3G13850	LBD	AT3G13850
AT3G13890	MYB	AT3G13890
AT3G13960	GRF	AT3G13960
AT3G14020	NF-YA	AT3G14020
AT3G14180	Trihelix	AT3G14180
AT3G14230	ERF	AT3G14230
AT3G15030	TCP	AT3G15030
AT3G15170	NAC	AT3G15170
AT3G15210	ERF	AT3G15210
AT3G15270	SBP	AT3G15270
AT3G15500	NAC	AT3G15500
AT3G15510	NAC	AT3G15510
AT3G16160	CPP	AT3G16160
AT3G16280	ERF	AT3G16280
AT3G16350	MYB_related	AT3G16350
AT3G16770	ERF	AT3G16770
AT3G16857	ARR-B	AT3G16857
AT3G16870	GATA	AT3G16870
AT3G16940	CAMTA	AT3G16940
AT3G17010	B3	AT3G17010
AT3G17609	bZIP	AT3G17609
AT3G17730	NAC	AT3G17730
AT3G18010	WOX	AT3G18010
AT3G18100	MYB	AT3G18100
AT3G18380	HB-other	AT3G18380
AT3G18400	NAC	AT3G18400
AT3G18550	TCP	AT3G18550
AT3G18650	M-type_MADS	AT3G18650
AT3G18960	B3	AT3G18960
AT3G18990	B3	AT3G18990
AT3G19070	G2-like	AT3G19070
AT3G19184	B3	AT3G19184
AT3G19290	bZIP	AT3G19290
AT3G19360	C3H	AT3G19360
AT3G19500	bHLH	AT3G19500
AT3G19510	HB-PHD	AT3G19510
AT3G19580	C2H2	AT3G19580
AT3G19860	bHLH	AT3G19860
AT3G20310	ERF	AT3G20310
AT3G20640	bHLH	AT3G20640
AT3G20750	GATA	AT3G20750
AT3G20770	EIL	AT3G20770
AT3G20840	AP2	AT3G20840
AT3G20880	C2H2	AT3G20880
AT3G20910	NF-YA	AT3G20910
AT3G21175	GATA	AT3G21175
AT3G21270	Dof	AT3G21270
AT3G21330	bHLH	AT3G21330
AT3G21430	MYB_related	AT3G21430
AT3G21810	C3H	AT3G21810
AT3G21880	CO-like	AT3G21880
AT3G22100	bHLH	AT3G22100
AT3G22170	FAR1	AT3G22170
AT3G22760	CPP	AT3G22760
AT3G22780	CPP	AT3G22780
AT3G22830	HSF	AT3G22830
AT3G23130	C2H2	AT3G23130
AT3G23210	bHLH	AT3G23210
AT3G23220	ERF	AT3G23220
AT3G23230	ERF	AT3G23230
AT3G23240	ERF	AT3G23240
AT3G23250	MYB_related	AT3G23250
AT3G23690	bHLH	AT3G23690
AT3G24050	GATA	AT3G24050
AT3G24120	G2-like	AT3G24120
AT3G24140	bHLH	AT3G24140
AT3G24310	MYB	AT3G24310
AT3G24490	Trihelix	AT3G24490
AT3G24520	HSF	AT3G24520
AT3G24650	B3	AT3G24650
AT3G24860	Trihelix	AT3G24860
AT3G25710	bHLH	AT3G25710
AT3G25730	RAV	AT3G25730
AT3G25790	G2-like	AT3G25790
AT3G25890	ERF	AT3G25890
AT3G25990	Trihelix	AT3G25990
AT3G26620	LBD	AT3G26620
AT3G26660	LBD	AT3G26660
AT3G26744	bHLH	AT3G26744
AT3G26790	B3	AT3G26790
AT3G27010	TCP	AT3G27010
AT3G27650	LBD	AT3G27650
AT3G27785	MYB	AT3G27785
AT3G27810	MYB	AT3G27810
AT3G27920	MYB	AT3G27920
AT3G27940	LBD	AT3G27940
AT3G28470	MYB	AT3G28470
AT3G28857	bHLH	AT3G28857
AT3G28910	MYB	AT3G28910
AT3G28917	ZF-HD	AT3G28917
AT3G28920	ZF-HD	AT3G28920
AT3G29020	MYB	AT3G29020
AT3G29035	NAC	AT3G29035
AT3G29340	C2H2	AT3G29340
AT3G30210	MYB	AT3G30210
AT3G30260	MIKC_MADS	AT3G30260
AT3G30530	bZIP	AT3G30530
AT3G44290	NAC	AT3G44290
AT3G44350	NAC	AT3G44350
AT3G44460	bZIP	AT3G44460
AT3G44750	C2H2	AT3G44750
AT3G44785	C3H	AT3G44785
AT3G45150	TCP	AT3G45150
AT3G45170	GATA	AT3G45170
AT3G45260	C2H2	AT3G45260
AT3G45610	Dof	AT3G45610
AT3G46070	C2H2	AT3G46070
AT3G46080	C2H2	AT3G46080
AT3G46090	C2H2	AT3G46090
AT3G46130	MYB_related	AT3G46130
AT3G46600	GRAS	AT3G46600
AT3G46640	G2-like	AT3G46640
AT3G46770	B3	AT3G46770
AT3G47500	Dof	AT3G47500
AT3G47600	MYB	AT3G47600
AT3G47620	TCP	AT3G47620
AT3G47640	bHLH	AT3G47640
AT3G47710	bHLH	AT3G47710
AT3G47870	LBD	AT3G47870
AT3G48160	E2F/DP	AT3G48160
AT3G48430	C2H2	AT3G48430
AT3G48440	C3H	AT3G48440
AT3G48590	NF-YC	AT3G48590
AT3G48920	MYB	AT3G48920
AT3G49530	NAC	AT3G49530
AT3G49690	MYB	AT3G49690
AT3G49760	bZIP	AT3G49760
AT3G49850	MYB_related	AT3G49850
AT3G49930	C2H2	AT3G49930
AT3G49940	LBD	AT3G49940
AT3G49950	GRAS	AT3G49950
AT3G50060	MYB	AT3G50060
AT3G50260	ERF	AT3G50260
AT3G50330	bHLH	AT3G50330
AT3G50410	Dof	AT3G50410
AT3G50510	LBD	AT3G50510
AT3G50650	GRAS	AT3G50650
AT3G50700	C2H2	AT3G50700
AT3G50750	BES1	AT3G50750
AT3G50870	GATA	AT3G50870
AT3G50890	ZF-HD	AT3G50890
AT3G51060	SRS	AT3G51060
AT3G51080	GATA	AT3G51080
AT3G51120	C3H	AT3G51120
AT3G51910	HSF	AT3G51910
AT3G51960	bZIP	AT3G51960
AT3G52250	MYB	AT3G52250
AT3G52440	Dof	AT3G52440
AT3G52910	GRF	AT3G52910
AT3G53200	MYB	AT3G53200
AT3G53310	B3	AT3G53310
AT3G53340	NF-YB	AT3G53340
AT3G53370	S1Fa-like	AT3G53370
AT3G53600	C2H2	AT3G53600
AT3G53790	MYB_related	AT3G53790
AT3G53820	C2H2	AT3G53820
AT3G54220	GRAS	AT3G54220
AT3G54320	ERF	AT3G54320
AT3G54340	MIKC_MADS	AT3G54340
AT3G54390	Trihelix	AT3G54390
AT3G54430	SRS	AT3G54430
AT3G54620	bZIP	AT3G54620
AT3G54810	GATA	AT3G54810
AT3G54990	AP2	AT3G54990
AT3G55210	NAC	AT3G55210
AT3G55370	Dof	AT3G55370
AT3G55730	MYB	AT3G55730
AT3G55980	C3H	AT3G55980
AT3G56400	WRKY	AT3G56400
AT3G56520	NAC	AT3G56520
AT3G56530	NAC	AT3G56530
AT3G56560	NAC	AT3G56560
AT3G56660	bZIP	AT3G56660
AT3G56770	bHLH	AT3G56770
AT3G56850	bZIP	AT3G56850
AT3G56970	bHLH	AT3G56970
AT3G56980	bHLH	AT3G56980
AT3G57230	MIKC_MADS	AT3G57230
AT3G57390	MIKC_MADS	AT3G57390
AT3G57480	C2H2	AT3G57480
AT3G57600	ERF	AT3G57600
AT3G57670	C2H2	AT3G57670
AT3G57800	bHLH	AT3G57800
AT3G57920	SBP	AT3G57920
AT3G57980	MYB_related	AT3G57980
AT3G58070	C2H2	AT3G58070
AT3G58120	bZIP	AT3G58120
AT3G58190	LBD	AT3G58190
AT3G58630	Trihelix	AT3G58630
AT3G58710	WRKY	AT3G58710
AT3G58780	MIKC_MADS	AT3G58780
AT3G59060	bHLH	AT3G59060
AT3G59470	FAR1	AT3G59470
AT3G59580	Nin-like	AT3G59580
AT3G60030	SBP	AT3G60030
AT3G60110	MYB_related	AT3G60110
AT3G60390	HD-ZIP	AT3G60390
AT3G60460	MYB	AT3G60460
AT3G60490	ERF	AT3G60490
AT3G60530	GATA	AT3G60530
AT3G60580	C2H2	AT3G60580
AT3G60630	GRAS	AT3G60630
AT3G61120	MIKC_MADS	AT3G61120
AT3G61150	HD-ZIP	AT3G61150
AT3G61250	MYB	AT3G61250
AT3G61630	ERF	AT3G61630
AT3G61830	ARF	AT3G61830
AT3G61850	Dof	AT3G61850
AT3G61890	HD-ZIP	AT3G61890
AT3G61910	NAC	AT3G61910
AT3G61950	bHLH	AT3G61950
AT3G61970	B3	AT3G61970
AT3G62090	bHLH	AT3G62090
AT3G62340	WRKY	AT3G62340
AT3G62420	bZIP	AT3G62420
AT3G62610	MYB	AT3G62610
AT3G62670	ARR-B	AT3G62670
AT3G63350	HSF	AT3G63350
AT3G66656	M-type_MADS	AT3G66656
AT4G00050	bHLH	AT4G00050
AT4G00120	bHLH	AT4G00120
AT4G00130	GeBP	AT4G00130
AT4G00150	GRAS	AT4G00150
AT4G00180	YABBY	AT4G00180
AT4G00210	LBD	AT4G00210
AT4G00220	LBD	AT4G00220
AT4G00232	GeBP	AT4G00232
AT4G00238	GeBP	AT4G00238
AT4G00250	GeBP	AT4G00250
AT4G00260	B3	AT4G00260
AT4G00270	GeBP	AT4G00270
AT4G00390	GeBP	AT4G00390
AT4G00480	bHLH	AT4G00480
AT4G00540	MYB	AT4G00540
AT4G00610	GeBP	AT4G00610
AT4G00730	HD-ZIP	AT4G00730
AT4G00870	bHLH	AT4G00870
AT4G00940	Dof	AT4G00940
AT4G01060	MYB_related	AT4G01060
AT4G01120	bZIP	AT4G01120
AT4G01250	WRKY	AT4G01250
AT4G01260	GeBP	AT4G01260
AT4G01280	MYB_related	AT4G01280
AT4G01460	bHLH	AT4G01460
AT4G01500	B3	AT4G01500
AT4G01520	NAC	AT4G01520
AT4G01540	NAC	AT4G01540
AT4G01550	NAC	AT4G01550
AT4G01580	B3	AT4G01580
AT4G01680	MYB	AT4G01680
AT4G01720	WRKY	AT4G01720
AT4G02235	M-type_MADS	AT4G02235
AT4G02560	HB-other	AT4G02560
AT4G02590	bHLH	AT4G02590
AT4G02640	bZIP	AT4G02640
AT4G02670	C2H2	AT4G02670
AT4G03170	B3	AT4G03170
AT4G03250	HB-other	AT4G03250
AT4G04450	WRKY	AT4G04450
AT4G04580	G2-like	AT4G04580
AT4G04890	HD-ZIP	AT4G04890
AT4G05100	MYB	AT4G05100
AT4G05170	bHLH	AT4G05170
AT4G06598	bZIP	AT4G06598
AT4G06634	C2H2	AT4G06634
AT4G06746	ERF	AT4G06746
AT4G08150	TALE	AT4G08150
AT4G08250	GRAS	AT4G08250
AT4G09180	bHLH	AT4G09180
AT4G09450	MYB_related	AT4G09450
AT4G09460	MYB	AT4G09460
AT4G09820	bHLH	AT4G09820
AT4G09960	MIKC_MADS	AT4G09960
AT4G10240	DBB	AT4G10240
AT4G10350	NAC	AT4G10350
AT4G11070	WRKY	AT4G11070
AT4G11140	ERF	AT4G11140
AT4G11250	M-type_MADS	AT4G11250
AT4G11660	HSF	AT4G11660
AT4G11880	MIKC_MADS	AT4G11880
AT4G12020	WRKY	AT4G12020
AT4G12240	C2H2	AT4G12240
AT4G12350	MYB	AT4G12350
AT4G12750	HB-other	AT4G12750
AT4G12850	FAR1	AT4G12850
AT4G13040	ERF	AT4G13040
AT4G13480	MYB	AT4G13480
AT4G13620	ERF	AT4G13620
AT4G13640	G2-like	AT4G13640
AT4G13980	HSF	AT4G13980
AT4G14410	bHLH	AT4G14410
AT4G14540	NF-YB	AT4G14540
AT4G14770	CPP	AT4G14770
AT4G15090	FAR1	AT4G15090
AT4G15250	CO-like	AT4G15250
AT4G16110	ARR-B	AT4G16110
AT4G16141	GATA	AT4G16141
AT4G16150	CAMTA	AT4G16150
AT4G16430	bHLH	AT4G16430
AT4G16610	C2H2	AT4G16610
AT4G16750	ERF	AT4G16750
AT4G16780	HD-ZIP	AT4G16780
AT4G17230	GRAS	AT4G17230
AT4G17460	HD-ZIP	AT4G17460
AT4G17490	ERF	AT4G17490
AT4G17500	ERF	AT4G17500
AT4G17570	GATA	AT4G17570
AT4G17695	G2-like	AT4G17695
AT4G17710	HD-ZIP	AT4G17710
AT4G17750	HSF	AT4G17750
AT4G17785	MYB	AT4G17785
AT4G17810	C2H2	AT4G17810
AT4G17880	bHLH	AT4G17880
AT4G17980	NAC	AT4G17980
AT4G18020	ARR-B	AT4G18020
AT4G18170	WRKY	AT4G18170
AT4G18390	TCP	AT4G18390
AT4G18450	ERF	AT4G18450
AT4G18770	MYB	AT4G18770
AT4G18870	HSF	AT4G18870
AT4G18880	HSF	AT4G18880
AT4G18890	BES1	AT4G18890
AT4G18960	MIKC_MADS	AT4G18960
AT4G19630	HSF	AT4G19630
AT4G19990	FAR1	AT4G19990
AT4G20380	LSD	AT4G20380
AT4G20970	bHLH	AT4G20970
AT4G21030	Dof	AT4G21030
AT4G21040	Dof	AT4G21040
AT4G21050	Dof	AT4G21050
AT4G21080	Dof	AT4G21080
AT4G21330	bHLH	AT4G21330
AT4G21340	bHLH	AT4G21340
AT4G21440	MYB	AT4G21440
AT4G21550	B3	AT4G21550
AT4G21610	LSD	AT4G21610
AT4G21750	HD-ZIP	AT4G21750
AT4G22070	WRKY	AT4G22070
AT4G22680	MYB	AT4G22680
AT4G22700	LBD	AT4G22700
AT4G22950	MIKC_MADS	AT4G22950
AT4G23550	WRKY	AT4G23550
AT4G23750	ERF	AT4G23750
AT4G23810	WRKY	AT4G23810
AT4G23980	ARF	AT4G23980
AT4G24020	Nin-like	AT4G24020
AT4G24060	Dof	AT4G24060
AT4G24150	GRF	AT4G24150
AT4G24240	WRKY	AT4G24240
AT4G24470	GATA	AT4G24470
AT4G24540	MIKC_MADS	AT4G24540
AT4G24660	ZF-HD	AT4G24660
AT4G25210	GeBP	AT4G25210
AT4G25400	bHLH	AT4G25400
AT4G25410	bHLH	AT4G25410
AT4G25440	C3H	AT4G25440
AT4G25470	ERF	AT4G25470
AT4G25480	ERF	AT4G25480
AT4G25490	ERF	AT4G25490
AT4G25530	HD-ZIP	AT4G25530
AT4G25560	MYB	AT4G25560
AT4G25610	C2H2	AT4G25610
AT4G26150	GATA	AT4G26150
AT4G26170	HRT-like	AT4G26170
AT4G26440	WRKY	AT4G26440
AT4G26640	WRKY	AT4G26640
AT4G26930	MYB	AT4G26930
AT4G27240	C2H2	AT4G27240
AT4G27330	NZZ/SPL	AT4G27330
AT4G27410	NAC	AT4G27410
AT4G27950	ERF	AT4G27950
AT4G28110	MYB	AT4G28110
AT4G28140	ERF	AT4G28140
AT4G28500	NAC	AT4G28500
AT4G28530	NAC	AT4G28530
AT4G28610	G2-like	AT4G28610
AT4G28790	bHLH	AT4G28790
AT4G28800	bHLH	AT4G28800
AT4G28811	bHLH	AT4G28811
AT4G28815	bHLH	AT4G28815
AT4G29000	CPP	AT4G29000
AT4G29100	bHLH	AT4G29100
AT4G29190	C3H	AT4G29190
AT4G29230	NAC	AT4G29230
AT4G29930	bHLH	AT4G29930
AT4G29940	HB-PHD	AT4G29940
AT4G30080	ARF	AT4G30080
AT4G30935	WRKY	AT4G30935
AT4G30980	bHLH	AT4G30980
AT4G31060	ERF	AT4G31060
AT4G31270	Trihelix	AT4G31270
AT4G31550	WRKY	AT4G31550
AT4G31610	B3	AT4G31610
AT4G31615	B3	AT4G31615
AT4G31620	B3	AT4G31620
AT4G31630	B3	AT4G31630
AT4G31640	B3	AT4G31640
AT4G31650	B3	AT4G31650
AT4G31660	B3	AT4G31660
AT4G31680	B3	AT4G31680
AT4G31690	B3	AT4G31690
AT4G31800	WRKY	AT4G31800
AT4G31920	ARR-B	AT4G31920
AT4G32010	B3	AT4G32010
AT4G32040	TALE	AT4G32040
AT4G32730	MYB	AT4G32730
AT4G32800	ERF	AT4G32800
AT4G32880	HD-ZIP	AT4G32880
AT4G32890	GATA	AT4G32890
AT4G32980	TALE	AT4G32980
AT4G33280	B3	AT4G33280
AT4G33450	MYB	AT4G33450
AT4G33880	bHLH	AT4G33880
AT4G34000	bZIP	AT4G34000
AT4G34400	B3	AT4G34400
AT4G34410	ERF	AT4G34410
AT4G34530	bHLH	AT4G34530
AT4G34590	bZIP	AT4G34590
AT4G34610	TALE	AT4G34610
AT4G34680	GATA	AT4G34680
AT4G34990	MYB	AT4G34990
AT4G35040	bZIP	AT4G35040
AT4G35270	Nin-like	AT4G35270
AT4G35280	C2H2	AT4G35280
AT4G35550	WOX	AT4G35550
AT4G35580	NAC	AT4G35580
AT4G35590	Nin-like	AT4G35590
AT4G35610	C2H2	AT4G35610
AT4G35700	C2H2	AT4G35700
AT4G35900	bZIP	AT4G35900
AT4G36060	bHLH	AT4G36060
AT4G36160	NAC	AT4G36160
AT4G36240	GATA	AT4G36240
AT4G36260	SRS	AT4G36260
AT4G36540	bHLH	AT4G36540
AT4G36570	MYB_related	AT4G36570
AT4G36590	M-type_MADS	AT4G36590
AT4G36620	GATA	AT4G36620
AT4G36710	GRAS	AT4G36710
AT4G36730	bZIP	AT4G36730
AT4G36740	HD-ZIP	AT4G36740
AT4G36780	BES1	AT4G36780
AT4G36870	TALE	AT4G36870
AT4G36900	ERF	AT4G36900
AT4G36920	AP2	AT4G36920
AT4G36930	bHLH	AT4G36930
AT4G36990	HSF	AT4G36990
AT4G37180	G2-like	AT4G37180
AT4G37260	MYB	AT4G37260
AT4G37540	LBD	AT4G37540
AT4G37650	GRAS	AT4G37650
AT4G37730	bZIP	AT4G37730
AT4G37740	GRF	AT4G37740
AT4G37750	AP2	AT4G37750
AT4G37780	MYB	AT4G37780
AT4G37790	HD-ZIP	AT4G37790
AT4G37850	bHLH	AT4G37850
AT4G37940	MIKC_MADS	AT4G37940
AT4G38000	Dof	AT4G38000
AT4G38070	bHLH	AT4G38070
AT4G38180	FAR1	AT4G38180
AT4G38340	Nin-like	AT4G38340
AT4G38620	MYB	AT4G38620
AT4G38900	bZIP	AT4G38900
AT4G38910	BBR-BPC	AT4G38910
AT4G38960	DBB	AT4G38960
AT4G39070	DBB	AT4G39070
AT4G39160	MYB_related	AT4G39160
AT4G39250	MYB_related	AT4G39250
AT4G39410	WRKY	AT4G39410
AT4G39780	ERF	AT4G39780
AT4G40060	HD-ZIP	AT4G40060
AT5G01200	MYB	AT5G01200
AT5G01310	bHLH	AT5G01310
AT5G01380	Trihelix	AT5G01380
AT5G01860	C2H2	AT5G01860
AT5G01900	WRKY	AT5G01900
AT5G02030	TALE	AT5G02030
AT5G02320	MYB	AT5G02320
AT5G02460	Dof	AT5G02460
AT5G02470	E2F/DP	AT5G02470
AT5G02840	MYB_related	AT5G02840
AT5G03150	C2H2	AT5G03150
AT5G03415	E2F/DP	AT5G03415
AT5G03510	C2H2	AT5G03510
AT5G03680	Trihelix	AT5G03680
AT5G03720	HSF	AT5G03720
AT5G03740	C2H2	AT5G03740
AT5G03790	HD-ZIP	AT5G03790
AT5G04150	bHLH	AT5G04150
AT5G04240	C2H2	AT5G04240
AT5G04340	C2H2	AT5G04340
AT5G04390	C2H2	AT5G04390
AT5G04400	NAC	AT5G04400
AT5G04410	NAC	AT5G04410
AT5G04640	M-type_MADS	AT5G04640
AT5G04760	MYB	AT5G04760
AT5G05090	G2-like	AT5G05090
AT5G05120	C2H2	AT5G05120
AT5G05410	ERF	AT5G05410
AT5G05550	Trihelix	AT5G05550
AT5G05660	NF-X1	AT5G05660
AT5G05770	WOX	AT5G05770
AT5G05790	MYB	AT5G05790
AT5G06070	C2H2	AT5G06070
AT5G06080	LBD	AT5G06080
AT5G06100	MYB	AT5G06100
AT5G06110	MYB	AT5G06110
AT5G06250	B3	AT5G06250
AT5G06420	C3H	AT5G06420
AT5G06500	M-type_MADS	AT5G06500
AT5G06510	NF-YA	AT5G06510
AT5G06650	C2H2	AT5G06650
AT5G06710	HD-ZIP	AT5G06710
AT5G06770	C3H	AT5G06770
AT5G06800	G2-like	AT5G06800
AT5G06839	bZIP	AT5G06839
AT5G06950	bZIP	AT5G06950
AT5G06960	bZIP	AT5G06960
AT5G07100	WRKY	AT5G07100
AT5G07160	bZIP	AT5G07160
AT5G07210	ARR-B	AT5G07210
AT5G07310	ERF	AT5G07310
AT5G07500	C3H	AT5G07500
AT5G07580	ERF	AT5G07580
AT5G07680	NAC	AT5G07680
AT5G07690	MYB	AT5G07690
AT5G07700	MYB	AT5G07700
AT5G08070	TCP	AT5G08070
AT5G08130	bHLH	AT5G08130
AT5G08141	bZIP	AT5G08141
AT5G08190	NF-YB	AT5G08190
AT5G08330	TCP	AT5G08330
AT5G08520	MYB	AT5G08520
AT5G08790	NAC	AT5G08790
AT5G09330	NAC	AT5G09330
AT5G09410	CAMTA	AT5G09410
AT5G09750	bHLH	AT5G09750
AT5G09780	B3	AT5G09780
AT5G10030	bZIP	AT5G10030
AT5G10120	EIL	AT5G10120
AT5G10140	MIKC_MADS	AT5G10140
AT5G10280	MYB	AT5G10280
AT5G10510	AP2	AT5G10510
AT5G10570	bHLH	AT5G10570
AT5G10970	C2H2	AT5G10970
AT5G11050	MYB	AT5G11050
AT5G11060	TALE	AT5G11060
AT5G11190	ERF	AT5G11190
AT5G11260	bZIP	AT5G11260
AT5G11270	HB-other	AT5G11270
AT5G11510	MYB	AT5G11510
AT5G11590	ERF	AT5G11590
AT5G12330	SRS	AT5G12330
AT5G12840	NF-YA	AT5G12840
AT5G12850	C3H	AT5G12850
AT5G12870	MYB	AT5G12870
AT5G13080	WRKY	AT5G13080
AT5G13180	NAC	AT5G13180
AT5G13330	ERF	AT5G13330
AT5G13790	MIKC_MADS	AT5G13790
AT5G13910	ERF	AT5G13910
AT5G14000	NAC	AT5G14000
AT5G14010	C2H2	AT5G14010
AT5G14140	C2H2	AT5G14140
AT5G14280	GeBP	AT5G14280
AT5G14340	MYB	AT5G14340
AT5G14490	NAC	AT5G14490
AT5G14750	MYB	AT5G14750
AT5G14960	E2F/DP	AT5G14960
AT5G15060	LBD	AT5G15060
AT5G15130	WRKY	AT5G15130
AT5G15150	HD-ZIP	AT5G15150
AT5G15160	bHLH	AT5G15160
AT5G15210	ZF-HD	AT5G15210
AT5G15310	MYB	AT5G15310
AT5G15480	C2H2	AT5G15480
AT5G15800	MIKC_MADS	AT5G15800
AT5G15830	bZIP	AT5G15830
AT5G15840	CO-like	AT5G15840
AT5G15850	CO-like	AT5G15850
AT5G16540	C3H	AT5G16540
AT5G16560	G2-like	AT5G16560
AT5G16600	MYB	AT5G16600
AT5G16770	MYB	AT5G16770
AT5G16820	HSF	AT5G16820
AT5G17260	NAC	AT5G17260
AT5G17300	MYB_related	AT5G17300
AT5G17320	HD-ZIP	AT5G17320
AT5G17430	AP2	AT5G17430
AT5G17490	GRAS	AT5G17490
AT5G17800	MYB	AT5G17800
AT5G17810	WOX	AT5G17810
AT5G18000	B3	AT5G18000
AT5G18037	NAC	AT5G18037
AT5G18090	B3	AT5G18090
AT5G18240	G2-like	AT5G18240
AT5G18270	NAC	AT5G18270
AT5G18300	NAC	AT5G18300
AT5G18450	ERF	AT5G18450
AT5G18550	C3H	AT5G18550
AT5G18560	ERF	AT5G18560
AT5G18830	SBP	AT5G18830
AT5G18960	FAR1	AT5G18960
AT5G19490	NF-YC	AT5G19490
AT5G19790	ERF	AT5G19790
AT5G20240	MIKC_MADS	AT5G20240
AT5G20730	ARF	AT5G20730
AT5G21120	EIL	AT5G21120
AT5G21960	ERF	AT5G21960
AT5G22220	E2F/DP	AT5G22220
AT5G22290	NAC	AT5G22290
AT5G22380	NAC	AT5G22380
AT5G22570	WRKY	AT5G22570
AT5G22890	C2H2	AT5G22890
AT5G22990	C2H2	AT5G22990
AT5G23000	MYB	AT5G23000
AT5G23090	NF-YB	AT5G23090
AT5G23260	MIKC_MADS	AT5G23260
AT5G23280	TCP	AT5G23280
AT5G23650	MYB	AT5G23650
AT5G24110	WRKY	AT5G24110
AT5G24590	NAC	AT5G24590
AT5G24800	bZIP	AT5G24800
AT5G24930	CO-like	AT5G24930
AT5G25160	C2H2	AT5G25160
AT5G25190	ERF	AT5G25190
AT5G25220	TALE	AT5G25220
AT5G25390	ERF	AT5G25390
AT5G25470	B3	AT5G25470
AT5G25475	B3	AT5G25475
AT5G25790	CPP	AT5G25790
AT5G25810	ERF	AT5G25810
AT5G25830	GATA	AT5G25830
AT5G26170	WRKY	AT5G26170
AT5G26580	M-type_MADS	AT5G26580
AT5G26630	M-type_MADS	AT5G26630
AT5G26650	M-type_MADS	AT5G26650
AT5G26660	MYB	AT5G26660
AT5G26749	C3H	AT5G26749
AT5G26880	M-type_MADS	AT5G26880
AT5G26930	GATA	AT5G26930
AT5G26950	M-type_MADS	AT5G26950
AT5G27050	M-type_MADS	AT5G27050
AT5G27070	M-type_MADS	AT5G27070
AT5G27090	M-type_MADS	AT5G27090
AT5G27130	M-type_MADS	AT5G27130
AT5G27580	M-type_MADS	AT5G27580
AT5G27810	M-type_MADS	AT5G27810
AT5G27880	C2H2	AT5G27880
AT5G27910	NF-YC	AT5G27910
AT5G27944	M-type_MADS	AT5G27944
AT5G27960	M-type_MADS	AT5G27960
AT5G28040	GeBP	AT5G28040
AT5G28300	Trihelix	AT5G28300
AT5G28530	FAR1	AT5G28530
AT5G28650	WRKY	AT5G28650
AT5G28770	bZIP	AT5G28770
AT5G29000	G2-like	AT5G29000
AT5G32460	B3	AT5G32460
